date,open,high,low,close,volume,vwap
2020-01-31,48.400002,48.580002,46.790001,47.0,60322400.0,47.45667
2020-02-03,46.400002,48.099998,46.23,48.02,47077000.0,47.45
2020-02-04,49.209999,49.75,48.610001,49.450001,46302100.0,49.27
2020-02-05,50.290001,50.419998,49.310001,49.84,42737100.0,49.85667
2020-02-06,48.799999,49.389999,47.630001,49.32,48670600.0,48.78
2020-02-07,48.91,50.669998,48.639999,49.73,53107600.0,49.68
2020-02-10,49.470001,52.299999,49.349998,52.259998,60971700.0,51.30333
2020-02-11,53.220001,54.48,52.91,53.799999,74719100.0,53.73
2020-02-12,54.529999,54.849998,53.529999,53.889999,45994900.0,54.09
2020-02-13,53.43,55.029999,53.34,54.529999,51640000.0,54.3
2020-02-14,55.189999,55.400002,54.560001,55.310001,52365400.0,55.09
2020-02-18,54.939999,58.130001,54.84,56.889999,70133200.0,56.62
2020-02-19,57.990002,59.27,57.509998,58.900002,58597300.0,58.56
2020-02-20,58.439999,59.02,56.150002,57.27,74203400.0,57.48
2020-02-21,56.709999,56.799999,52.889999,53.279999,88271100.0,54.32333
2020-02-24,48.18,50.279999,47.490002,49.119999,86624100.0,48.96333
2020-02-25,51.139999,51.240002,47.119999,47.57,88699400.0,48.64333
2020-02-26,47.700001,49.290001,47.07,47.490002,86378400.0,47.95
2020-02-27,45.380001,46.240002,42.209999,44.009998,106416200.0,44.15333
2020-02-28,41.360001,46.150002,41.040001,45.48,100667700.0,44.22333
2020-03-02,47.419998,47.68,44.66,47.459999,102324700.0,46.6
2020-03-03,49.029999,50.200001,45.669998,46.75,141972300.0,47.54
2020-03-04,48.25,50.139999,47.209999,50.110001,93311800.0,49.15333
2020-03-05,48.68,49.720001,47.509998,48.110001,98302700.0,48.44667
2020-03-06,49.439999,49.540001,46.740002,48.59,124590900.0,48.29
2020-03-09,43.029999,46.34,42.509998,43.27,80859800.0,44.04
2020-03-10,45.41,45.439999,43.099998,45.380001,76228200.0,44.64
2020-03-11,44.189999,45.970001,43.799999,45.700001,101601100.0,45.15667
2020-03-12,42.0,42.5,39.0,39.009998,107461500.0,40.17
2020-03-13,42.200001,43.91,39.599998,43.900002,86689700.0,42.47
2020-03-16,39.080002,43.369999,38.509998,38.709999,84545900.0,40.19667
2020-03-17,40.189999,42.880001,38.299999,41.880001,92741900.0,41.02
2020-03-18,39.540001,41.950001,36.75,39.119999,106949300.0,39.27333
2020-03-19,39.560001,41.700001,37.689999,39.82,88939000.0,39.73667
2020-03-20,41.509998,42.48,39.580002,39.610001,106859500.0,40.55667
2020-03-23,40.619999,42.32,38.950001,41.639999,101704700.0,40.97
2020-03-24,44.040001,46.810001,43.990002,46.220001,106794200.0,45.67333
2020-03-25,46.790001,47.880001,44.43,44.630001,93760400.0,45.64667
2020-03-26,45.779999,47.5,45.400002,47.5,73680200.0,46.8
2020-03-27,46.32,47.98,45.900002,46.580002,74599200.0,46.82
2020-03-30,47.240002,48.459999,46.66,47.860001,68486600.0,47.66
2020-03-31,47.93,48.529999,45.16,45.48,83483700.0,46.39
2020-04-01,44.18,46.849998,43.16,43.66,92083100.0,44.55667
2020-04-02,43.400002,45.279999,43.099998,44.490002,79024100.0,44.29
2020-04-03,44.299999,44.84,41.700001,42.59,79335000.0,43.04333
2020-04-06,44.299999,47.580002,44.060001,47.52,82294000.0,46.38667
2020-04-07,48.959999,49.650002,46.68,47.560001,102098700.0,47.96333
2020-04-08,48.07,49.0,47.610001,48.790001,64930800.0,48.46667
2020-04-09,49.650002,50.25,47.720001,48.380001,80357400.0,48.78333
2020-04-13,48.470001,51.07,48.23,50.939999,64290100.0,50.08
2020-04-14,52.240002,55.139999,52.110001,54.93,85306800.0,54.06
2020-04-15,53.73,55.57,53.41,54.990002,83814000.0,54.65667
2020-04-16,55.959999,58.080002,55.630001,56.950001,103106500.0,56.88667
2020-04-17,57.349998,57.759998,55.549999,56.599998,76908800.0,56.63667
2020-04-20,55.98,58.630001,55.849998,56.970001,72367300.0,57.15
2020-04-21,56.900002,57.73,51.41,52.919998,123906400.0,54.02
2020-04-22,54.91,56.150002,54.34,55.919998,63164100.0,55.47
2020-04-23,56.650002,57.290001,55.639999,55.900002,69662700.0,56.27667
2020-04-24,55.099998,56.779999,54.419998,56.18,72854800.0,55.79333
2020-04-27,57.439999,58.0,56.25,56.490002,62568100.0,56.91333
